Designator,Manufacturer Part Number or Speed SKU ,Qty,Link,,,,,
>  RV1-RV3,RV09AF-40-20K-B100K,3,https://www.mouser.fr/ProductDetail/Alpha-Taiwan/RV09AF-40-20K-B100K?qs=eadLBtAAYOcDATbz39dQgg%3D%3D,,,,,
>  SW1-SW21,B3F-4050,21,https://www.mouser.fr/ProductDetail/Omron-Electronics/B3F-4050?qs=B3tblJ0Nlt9ObBVoLmesBQ%3D%3D,,,,,
">  SW24, SW25",B3F-1050,2,https://www.mouser.fr/ProductDetail/Omron-Electronics/B3F-1050?qs=CX134%252BdLMDHtBADdp1bBBw%3D%3D,,,,,
">  SW22, SW26",B3F-1050,2,https://www.mouser.fr/ProductDetail/Omron-Electronics/B3F-1050?qs=CX134%252BdLMDHtBADdp1bBBw%3D%3D,,,,,
U1,TEENSY40,1,https://www.pjrc.com/store/teensy40.html,,,,,
U2,TPS61090RSAR,1,https://www.lcsc.com/product-detail/DC-DC-Converters_Texas-Instruments-TPS61090RSAR_C206167.html?s_z=n_C206167,,,,,
U3,MCP73831T-2ACI/OT,1,https://www.lcsc.com/product-detail/Battery-Management_Microchip-Tech-MCP73831T-2ACI-OT_C424093.html?s_z=n_C424093,,,,,
U4,"74HC595D,118",1,https://www.lcsc.com/product-detail/Shift-Registers_Nexperia-74HC595D-118_C5947.html?s_z=n_C5947,,,,,
U5,PCM5102APWR,1,https://www.lcsc.com/product-detail/ADCs-DACs-Special-Purpose_Texas-Instruments-PCM5102APWR_C107671.html?s_z=n_C107671,,,,,
U6,MPR121QR2,1,https://www.lcsc.com/product-detail/Touch-Sensors_NXP-Semicon-MPR121QR2_C91322.html?s_z=n_C91322,,,,,
